NodeID,PacketsSent,PacketsDropped,SendRate,EnqueueRatio,DropRatio,NodeType
112,109,45,14.6458,0.587156,0.412844,Normal
113,103,39,11.2083,0.621359,0.378641,Normal
114,114,114,16.6601,0,1,Normal
115,72,8,10.5189,0.888889,0.111111,Normal
116,111,47,11.7393,0.576577,0.423423,Normal
117,84,20,12.0353,0.761905,0.238095,Normal
118,121,57,16.5484,0.528926,0.471074,Normal
119,103,39,14.5077,0.621359,0.378641,Normal
120,96,32,11.4042,0.666667,0.333333,Normal
121,127,63,13.8491,0.503937,0.496063,Normal
122,106,42,11.6232,0.603774,0.396226,Normal
123,76,12,10.5401,0.842105,0.157895,Normal
124,149,85,15.7064,0.42953,0.57047,Normal
125,112,48,13.6538,0.571429,0.428571,Normal
126,86,22,10.1936,0.744186,0.255814,Normal
127,106,42,15.5905,0.603774,0.396226,Normal
128,128,64,14.1189,0.5,0.5,Normal
129,85,21,10.1731,0.752941,0.247059,Normal
130,174,110,17.9927,0.367816,0.632184,Normal
131,139,75,19.8405,0.460432,0.539568,Normal
132,143,79,14.7626,0.447552,0.552448,Normal
133,84,20,11.7332,0.761905,0.238095,Normal
134,108,44,11.2192,0.592593,0.407407,Normal
135,129,65,18.8707,0.496124,0.503876,Normal
136,120,56,12.6602,0.533333,0.466667,Normal
137,92,28,10.8955,0.695652,0.304348,Normal
138,97,33,13.4194,0.659794,0.340206,Normal
139,110,46,13.8744,0.581818,0.418182,Normal
140,125,61,13.6544,0.512,0.488,Normal
141,82,18,11.9459,0.780488,0.219512,Normal
142,151,87,17.9547,0.423841,0.576159,Normal
143,91,27,10.9188,0.703297,0.296703,Normal
144,114,50,13.1108,0.561404,0.438596,Normal
145,113,65,13.0322,0.424779,0.575221,Normal
146,166,102,17.7315,0.385542,0.614458,Normal
147,116,52,14.5318,0.551724,0.448276,Normal
148,136,72,14.7537,0.470588,0.529412,Normal
149,105,41,15.3688,0.609524,0.390476,Normal
150,183,119,21.7903,0.349727,0.650273,Normal
151,116,52,12.7447,0.551724,0.448276,Normal
152,96,32,10.5414,0.666667,0.333333,Normal
153,102,38,13.1604,0.627451,0.372549,Normal
154,93,29,10.8528,0.688172,0.311828,Normal
155,106,42,12.756,0.603774,0.396226,Normal
156,123,59,13.9657,0.520325,0.479675,Normal
157,119,55,14.8793,0.537815,0.462185,Normal
158,159,95,16.3929,0.402516,0.597484,Normal
159,98,54,12.2754,0.44898,0.55102,Normal
160,92,28,12.5531,0.695652,0.304348,Normal
161,97,33,11.4603,0.659794,0.340206,Normal
162,156,92,17.3347,0.410256,0.589744,Normal
163,138,74,17.5495,0.463768,0.536232,Normal
164,126,62,14.297,0.507937,0.492063,Normal
165,95,31,10.3821,0.673684,0.326316,Normal
166,73,80,10.8053,-0.0958904,1.09589,Normal
167,94,30,13.4605,0.680851,0.319149,Normal
168,100,36,13.6564,0.64,0.36,Normal
169,77,13,11.3905,0.831169,0.168831,Normal
170,107,43,14.3407,0.598131,0.401869,Normal
171,91,27,12.902,0.703297,0.296703,Normal
172,110,46,11.5042,0.581818,0.418182,Normal
173,131,67,15.2983,0.48855,0.51145,Normal
174,134,70,14.0496,0.477612,0.522388,Normal
175,174,110,19.0232,0.367816,0.632184,Normal
176,98,34,11.3257,0.653061,0.346939,Normal
177,153,89,16.6625,0.418301,0.581699,Normal
178,136,72,15.2679,0.470588,0.529412,Normal
179,124,60,13.4965,0.516129,0.483871,Normal
180,89,25,10.2768,0.719101,0.280899,Normal
181,175,111,18.9416,0.365714,0.634286,Normal
182,141,77,18.1478,0.453901,0.546099,Normal
183,100,36,12.8823,0.64,0.36,Normal
184,114,50,15.9712,0.561404,0.438596,Normal
185,155,91,19.0042,0.412903,0.587097,Normal
186,137,73,15.3997,0.467153,0.532847,Normal
187,81,17,10.5974,0.790123,0.209877,Normal
188,131,67,18.6709,0.48855,0.51145,Normal
189,101,37,13.1129,0.633663,0.366337,Normal
190,112,48,14.9851,0.571429,0.428571,Normal
191,117,53,12.5009,0.547009,0.452991,Normal
192,111,47,11.4624,0.576577,0.423423,Normal
193,121,57,12.5246,0.528926,0.471074,Normal
194,124,60,13.6729,0.516129,0.483871,Normal
195,105,41,12.1346,0.609524,0.390476,Normal
196,73,9,10.689,0.876712,0.123288,Normal
197,119,55,16.2189,0.537815,0.462185,Normal
198,115,51,12.1615,0.556522,0.443478,Normal
199,92,28,11.582,0.695652,0.304348,Normal
200,251,187,27.5261,0.25498,0.74502,Normal
201,112,48,14.7358,0.571429,0.428571,Normal
202,128,64,17.7647,0.5,0.5,Normal
203,101,37,11.2622,0.633663,0.366337,Normal
204,105,41,12.36,0.609524,0.390476,Normal
205,130,66,17.4568,0.492308,0.507692,Normal
206,117,53,12.2604,0.547009,0.452991,Normal
207,74,10,10.282,0.864865,0.135135,Normal
208,110,46,15.5096,0.581818,0.418182,Normal
209,153,89,19.2206,0.418301,0.581699,Normal
210,90,26,10.4245,0.711111,0.288889,Normal
211,121,57,13.4462,0.528926,0.471074,Normal
212,120,56,14.6805,0.533333,0.466667,Normal
213,173,109,17.9818,0.369942,0.630058,Normal
214,105,41,12.0918,0.609524,0.390476,Normal
215,148,84,15.6773,0.432432,0.567568,Normal
216,119,55,16.0091,0.537815,0.462185,Normal
217,137,73,17.6107,0.467153,0.532847,Normal
218,121,57,15.8779,0.528926,0.471074,Normal
219,124,60,14.5818,0.516129,0.483871,Normal
220,129,65,18.7693,0.496124,0.503876,Normal
221,132,68,17.6752,0.484848,0.515152,Normal
222,107,43,13.1687,0.598131,0.401869,Normal
223,89,25,10.2662,0.719101,0.280899,Normal
224,115,51,13.5872,0.556522,0.443478,Normal
225,111,47,13.7758,0.576577,0.423423,Normal
226,139,75,15.8307,0.460432,0.539568,Normal
227,131,67,15.1478,0.48855,0.51145,Normal
228,158,94,18.8432,0.405063,0.594937,Normal
229,128,64,17.8385,0.5,0.5,Normal
230,104,40,13.6963,0.615385,0.384615,Normal
231,136,146,14.6377,-0.0735294,1.07353,Normal
232,101,37,10.7925,0.633663,0.366337,Normal
233,92,28,12.3474,0.695652,0.304348,Normal
234,107,43,13.3128,0.598131,0.401869,Normal
235,135,71,18.7059,0.474074,0.525926,Normal
236,110,46,12.2365,0.581818,0.418182,Normal
237,136,72,17.7836,0.470588,0.529412,Normal
238,144,80,16.3244,0.444444,0.555556,Normal
239,106,42,11.0019,0.603774,0.396226,Normal
240,143,79,18.0166,0.447552,0.552448,Normal
241,115,51,13.0583,0.556522,0.443478,Normal
242,98,34,10.1712,0.653061,0.346939,Normal
243,130,66,16.1696,0.492308,0.507692,Normal
244,147,83,18.6012,0.435374,0.564626,Normal
245,115,51,12.4655,0.556522,0.443478,Normal
246,122,58,13.7273,0.52459,0.47541,Normal
247,133,69,15.2032,0.481203,0.518797,Normal
248,97,33,12.3904,0.659794,0.340206,Normal
249,153,89,18.8554,0.418301,0.581699,Normal
250,298,234,31.2635,0.214765,0.785235,Normal
251,105,41,15.0392,0.609524,0.390476,Normal
252,108,44,12.4771,0.592593,0.407407,Normal
253,154,90,16.6511,0.415584,0.584416,Normal
254,124,60,13.8269,0.516129,0.483871,Normal
255,78,14,11.2441,0.820513,0.179487,Normal
256,93,29,12.1067,0.688172,0.311828,Normal
257,122,58,12.9269,0.52459,0.47541,Normal
258,85,21,10.4429,0.752941,0.247059,Normal
259,75,11,10.5253,0.853333,0.146667,Normal
260,101,37,10.4494,0.633663,0.366337,Normal
261,99,35,12.0034,0.646465,0.353535,Normal
262,110,105,14.4666,0.0454545,0.954545,Normal
263,107,43,11.0586,0.598131,0.401869,Normal
264,102,38,10.809,0.627451,0.372549,Normal
265,114,50,14.9774,0.561404,0.438596,Normal
266,101,37,13.7853,0.633663,0.366337,Normal
267,117,53,12.9009,0.547009,0.452991,Normal
268,95,31,11.2379,0.673684,0.326316,Normal
269,192,128,19.9574,0.333333,0.666667,Normal
270,94,30,12.0812,0.680851,0.319149,Normal
271,83,19,11.6673,0.771084,0.228916,Normal
272,152,88,17.7068,0.421053,0.578947,Normal
273,107,43,11.8457,0.598131,0.401869,Normal
274,82,18,11.8222,0.780488,0.219512,Normal
275,105,41,14.2529,0.609524,0.390476,Normal
276,111,47,14.6358,0.576577,0.423423,Normal
277,102,38,12.1068,0.627451,0.372549,Normal
278,119,55,13.0888,0.537815,0.462185,Normal
279,131,67,14.2064,0.48855,0.51145,Normal
280,108,44,14.9675,0.592593,0.407407,Normal
281,138,74,15.1015,0.463768,0.536232,Normal
282,91,89,12.1485,0.021978,0.978022,Normal
283,73,9,10.5462,0.876712,0.123288,Normal
284,129,65,18.2989,0.496124,0.503876,Normal
285,113,49,13.8751,0.566372,0.433628,Normal
286,139,75,19.9857,0.460432,0.539568,Normal
287,85,21,10.6572,0.752941,0.247059,Normal
288,158,94,19.442,0.405063,0.594937,Normal
289,137,73,15.9539,0.467153,0.532847,Normal
290,159,95,18.0599,0.402516,0.597484,Normal
291,153,89,16.006,0.418301,0.581699,Normal
292,98,34,11.2809,0.653061,0.346939,Normal
293,135,71,15.2124,0.474074,0.525926,Normal
294,124,60,13.1708,0.516129,0.483871,Normal
295,109,45,12.3453,0.587156,0.412844,Normal
296,106,42,11.1566,0.603774,0.396226,Normal
297,123,59,12.7841,0.520325,0.479675,Normal
298,133,69,14.2311,0.481203,0.518797,Normal
299,102,38,11.6984,0.627451,0.372549,Normal
300,237,173,25.2368,0.270042,0.729958,Normal
301,94,30,10.53,0.680851,0.319149,Normal
302,100,36,11.9929,0.64,0.36,Normal
303,96,32,11.2999,0.666667,0.333333,Normal
304,103,39,13.509,0.621359,0.378641,Normal
305,102,38,10.6926,0.627451,0.372549,Normal
306,79,15,10.4063,0.810127,0.189873,Normal
307,150,86,17.5468,0.426667,0.573333,Normal
308,76,12,10.4345,0.842105,0.157895,Normal
309,108,44,15.1581,0.592593,0.407407,Normal
310,76,12,10.5144,0.842105,0.157895,Normal
311,111,47,14.5717,0.576577,0.423423,Normal
312,90,26,10.3358,0.711111,0.288889,Normal
313,143,79,16.5551,0.447552,0.552448,Normal
314,159,95,19.3655,0.402516,0.597484,Normal
315,112,48,13.787,0.571429,0.428571,Normal
316,158,94,19.3519,0.405063,0.594937,Normal
317,171,107,19.4451,0.374269,0.625731,Normal
318,99,35,10.6066,0.646465,0.353535,Normal
319,104,40,10.9807,0.615385,0.384615,Normal
320,84,20,10.4882,0.761905,0.238095,Normal
321,95,31,13.4244,0.673684,0.326316,Normal
322,94,30,12.3674,0.680851,0.319149,Normal
323,165,101,17.6793,0.387879,0.612121,Normal
324,148,84,18.4102,0.432432,0.567568,Normal
325,99,35,11.1766,0.646465,0.353535,Normal
326,102,99,12.0501,0.0294118,0.970588,Normal
327,130,66,16.997,0.492308,0.507692,Normal
328,119,55,12.6074,0.537815,0.462185,Normal
329,82,18,11.1876,0.780488,0.219512,Normal
330,159,95,18.2854,0.402516,0.597484,Normal
331,128,64,14.7457,0.5,0.5,Normal
332,108,44,14.8626,0.592593,0.407407,Normal
333,69,5,10.2776,0.927536,0.0724638,Normal
334,161,97,18.0287,0.397516,0.602484,Normal
335,75,11,10.9211,0.853333,0.146667,Normal
336,139,75,19.9351,0.460432,0.539568,Normal
337,166,102,19.0798,0.385542,0.614458,Normal
338,136,83,14.9669,0.389706,0.610294,Normal
339,135,71,16.3515,0.474074,0.525926,Normal
340,112,48,15.3332,0.571429,0.428571,Normal
341,117,53,14.3864,0.547009,0.452991,Normal
342,136,72,18.6472,0.470588,0.529412,Normal
343,164,100,20.0339,0.390244,0.609756,Normal
344,108,44,12.9204,0.592593,0.407407,Normal
345,115,51,15.878,0.556522,0.443478,Normal
346,82,18,10.9899,0.780488,0.219512,Normal
347,138,74,14.3788,0.463768,0.536232,Normal
348,96,32,10.5238,0.666667,0.333333,Normal
349,98,34,11.8048,0.653061,0.346939,Normal
350,195,131,21.5663,0.328205,0.671795,Normal
351,105,41,11.1189,0.609524,0.390476,Normal
352,158,94,18.6644,0.405063,0.594937,Normal
353,96,32,14.2369,0.666667,0.333333,Normal
